,0
sbytes,0.12330134637541003
smean,0.09578725663392582
ct_dst_src_ltm,0.0596086688894657
ct_srv_dst,0.0539995076280195
service,0.04591244628118775
ct_srv_src,0.039933774039563816
dmean,0.03819030518004082
dbytes,0.03690042283912892
sload,0.03401068109809641
ct_dst_sport_ltm,0.03388931938860649
ct_state_ttl,0.03331171734029828
dload,0.03199420746491478
rate,0.021961662964710894
proto,0.021462566490100508
dur,0.020360327051817267
dloss,0.02004517447478929
sinpkt,0.01966240568981409
ackdat,0.01942644410096645
dpkts,0.01907122977046189
ct_src_dport_ltm,0.018710580363652952
sjit,0.017662533698209797
ct_dst_ltm,0.01736536697669985
ct_flw_http_mthd,0.01734247021664429
trans_depth,0.01708000737241804
synack,0.016703805011932485
tcprtt,0.016448620468278555
dinpkt,0.015430943246040616
spkts,0.015316969170655002
ct_src_ltm,0.014697446967503984
response_body_len,0.013929396245172043
sloss,0.01383602827514173
djit,0.012137132782132692
dtcpb,0.007499142247090824
stcpb,0.006197701923138061
state,0.005998474430388052
swin,0.0020891760020156675
is_sm_ips_ports,0.0014704742345248705
dwin,0.0006584953197977163
ct_ftp_cmd,0.00038110839009843225
is_ftp_login,0.00021466295714561568
