,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Normal,Reconnaissance,Shellcode,Worms
Analysis,16,277,211,53,95,10,11,1,3,0
Backdoor,16,203,222,9,102,10,6,4,11,0
DoS,128,2101,846,644,193,10,9,62,93,3
Exploits,181,2097,687,7017,401,24,43,396,279,7
Fuzzers,43,531,448,265,4137,20,163,22,433,0
Generic,2,10,76,439,103,18196,0,3,36,6
Normal,1997,2,38,517,11736,0,22286,12,411,1
Reconnaissance,15,263,40,92,31,0,0,2949,106,0
Shellcode,0,1,0,6,24,0,0,2,345,0
Worms,0,0,1,12,1,0,0,0,1,29
