,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Normal,Reconnaissance,Shellcode,Worms
Analysis,16,280,208,53,100,0,15,1,4,0
Backdoor,16,203,221,9,106,0,12,4,12,0
DoS,113,2111,769,708,204,1,17,62,98,6
Exploits,162,2100,711,7031,400,1,57,377,286,7
Fuzzers,42,555,421,267,4115,1,207,21,433,0
Generic,1,11,60,483,92,18179,0,3,37,5
Normal,1996,1,34,525,11690,1,22329,12,411,1
Reconnaissance,13,266,39,103,28,0,4,2934,108,1
Shellcode,0,1,0,8,24,0,0,1,344,0
Worms,0,0,2,16,1,0,0,0,1,24
