,0
sbytes,0.12074601588519167
smean,0.09675600026015822
ct_dst_src_ltm,0.05554323087810248
sttl,0.05221508233167598
ct_srv_dst,0.05170909483756654
service,0.04309419742846674
ct_srv_src,0.03753628736892143
ct_dst_sport_ltm,0.03508075509298516
sload,0.03346614610068521
dmean,0.03161507986670061
dbytes,0.03161210292948813
dload,0.028111676110082237
ct_state_ttl,0.027012835818958712
ct_src_dport_ltm,0.02402201663608859
proto,0.020395683480830904
rate,0.019605106493917435
trans_depth,0.01892284241829614
ct_flw_http_mthd,0.01875979468131825
sinpkt,0.018645578652149733
dloss,0.018277761906227995
dur,0.017564322701827548
sjit,0.017243350376282544
sloss,0.015190134436727369
dpkts,0.014482225654412064
response_body_len,0.014204746374828783
synack,0.01419006727879259
spkts,0.014099654672789721
ct_dst_ltm,0.014032143187730578
tcprtt,0.013986388088078703
ackdat,0.013774252655626259
dttl,0.012682553444370328
dinpkt,0.011938511880317028
ct_src_ltm,0.010790385427113077
djit,0.008903068178696287
stcpb,0.006928620076672702
dtcpb,0.006912106035266469
state,0.0038992277388183966
swin,0.002979278386173834
is_sm_ips_ports,0.0014773430130910377
dwin,0.0012407021797110481
ct_ftp_cmd,0.0002008373207106137
is_ftp_login,0.0001527917141509842
