,0
fwd_packets_IAT_mean,0.04639665397678502
fwd_packets_IAT_min,0.04446947149860167
fwd_packets_IAT_max,0.03731612800620632
packet_IAT_total,0.03643915712767249
fwd_packets_IAT_total,0.0361848912697006
bwd_packets_IAT_total,0.035604467292628776
packets_IAT_mean,0.03489580510675719
bwd_packets_IAT_max,0.03267909198962835
packet_IAT_max,0.03177106062317722
packet_IAT_min,0.029189002268789607
bwd_packets_IAT_mean,0.028641547527369724
bwd_packets_IAT_min,0.024027821132165988
mean_header_bytes,0.02395234652977342
min_header_bytes,0.019247785303885726
syn_flag_counts,0.01596059100417748
fwd_mean_header_bytes,0.015928100029902945
bwd_payload_bytes_variance,0.015228955629634945
fwd_packets_rate,0.014699133915596454
fwd_packets_IAT_std,0.01438245867628274
bwd_mean_header_bytes,0.01375957031881167
packet_IAT_std,0.013525390369548994
bwd_packets_rate,0.013467194751832704
duration,0.012998884399140672
rst_flag_counts,0.012446604112639799
fwd_payload_bytes_max,0.012109443039815966
total_header_bytes,0.01207728476801951
fwd_total_header_bytes,0.011796506868261641
bwd_std_header_bytes,0.01163445322859036
packets_rate,0.011611408175413835
bwd_packets_IAT_std,0.011030480435042143
fwd_min_header_bytes,0.010464352383870503
fwd_avg_segment_size,0.010410179379944692
avg_segment_size,0.010276471465537318
ack_flag_counts,0.010265036559949484
down_up_rate,0.009961149834507884
fwd_payload_bytes_variance,0.009495793325722975
max_header_bytes,0.009479636892632964
bwd_payload_bytes_max,0.00931647765561404
payload_bytes_variance,0.009071958567646596
payload_bytes_max,0.008766735609197298
bwd_packets_count,0.008421967785896219
fwd_ack_flag_counts,0.008104919323686347
payload_bytes_std,0.00786215360767151
std_header_bytes,0.007860993690229447
psh_flag_counts,0.007843275873481432
bwd_min_header_bytes,0.007626644949159993
fwd_std_header_bytes,0.007541581629053917
fwd_total_payload_bytes,0.007395365620328998
bwd_avg_segment_size,0.0073423783201179114
fwd_init_win_bytes,0.007080420183861912
bwd_payload_bytes_std,0.007076998910181454
fwd_payload_bytes_std,0.007076412887090352
bwd_ack_flag_counts,0.006819998375903465
payload_bytes_mean,0.006734534711808567
fwd_syn_flag_counts,0.006614900691175329
bwd_max_header_bytes,0.006539468940419049
bwd_total_header_bytes,0.006491639837377408
packets_count,0.0061184010729123765
fwd_psh_flag_counts,0.005991493765972374
total_payload_bytes,0.005933535518892097
fwd_packets_count,0.005785920216583653
bwd_init_win_bytes,0.005721679232855432
subflow_bwd_bytes,0.005687187280163474
bwd_total_payload_bytes,0.005270690663790315
subflow_fwd_bytes,0.005106139784935245
bwd_payload_bytes_mean,0.0050604879597263485
bwd_psh_flag_counts,0.0045344286221681
fwd_max_header_bytes,0.004111040741522597
fwd_payload_bytes_mean,0.004044751829717129
fwd_bytes_rate,0.004034397332359156
subflow_fwd_packets,0.0038816845239302037
bytes_rate,0.003259867872278137
bwd_bytes_rate,0.0030969220214638197
subflow_bwd_packets,0.0030054189467680708
fin_flag_counts,0.002864431455137694
bwd_rst_flag_counts,0.0026864756232879003
fwd_fin_flag_counts,0.002522168669168934
fwd_rst_flag_counts,0.0021020109948154866
protocol,0.002085470331698488
bwd_payload_bytes_min,0.001911481639203801
fwd_payload_bytes_min,0.0015041778266515933
payload_bytes_min,0.0013485540647151944
bwd_syn_flag_counts,0.0008902550761892804
fwd_bulk_duration,0.0008494471873863669
avg_fwd_bytes_per_bulk,0.000692962274754331
avg_bwd_packets_bulk_rate,0.0005251071309081146
bwd_fin_flag_counts,0.0004889980800157622
bwd_bulk_total_size,0.0003858651554578756
avg_bwd_bulk_rate,0.00038248537346972645
fwd_bulk_total_size,0.0003449570852824621
avg_fwd_bulk_rate,0.0003416162573210395
idle_min,0.00026860586881654084
idle_max,0.00026462927815914725
idle_mean,0.00023756511621384434
fwd_bulk_per_packet,0.0002359603456033472
avg_bwd_bytes_per_bulk,0.00021001375697116126
fwd_bulk_state_count,0.00014291489206015042
bwd_bulk_duration,0.00012174981940567477
bwd_bulk_per_packet,9.878639487859467e-05
idle_std,9.576762956409536e-05
active_mean,8.959866596864186e-05
active_std,7.583076964226748e-05
avg_fwd_packets_per_bulk,6.833792067743622e-05
active_min,4.625725466629636e-05
active_max,4.5086185371630645e-05
bwd_bulk_state_count,1.5248102577545098e-05
fwd_cwr_flag_counts,8.727038650118843e-20
ece_flag_counts,2.563079889457759e-21
cwr_flag_counts,1.9169157435227283e-21
urg_flag_counts,0.0
fwd_urg_flag_counts,0.0
fwd_ece_flag_counts,0.0
bwd_urg_flag_counts,0.0
bwd_ece_flag_counts,0.0
bwd_cwr_flag_counts,0.0
