episode,campaign_id,epsilon,total_reward,n_steps,precision,recall,f1,avg_loss
1,cicids2017_fri_c0,0.999525,-37.699999999999996,59,0.6071428571428571,0.4857142857142857,0.5396825396825397,
2,cicids2017_wed_c1,0.99905,-26.099999999999973,59,0.20833333333333334,0.45454545454545453,0.28571428571428575,1.1579499206998147
3,cicids2017_wed_c0,0.998575,-33.09999999999999,59,0.6428571428571429,0.5142857142857142,0.5714285714285714,0.8307112560504138
4,cicids2017_tue_c0,0.9981,-30.69999999999998,59,0.6333333333333333,0.5428571428571428,0.5846153846153846,0.8680894938786259
5,cicids2017_tue_c0,0.997625,-51.3,59,0.46875,0.42857142857142855,0.4477611940298507,1.031199324515171
6,cicids2017_wed_c1,0.99715,-26.99999999999999,59,0.20689655172413793,0.5454545454545454,0.3,1.099934039747759
7,cicids2017_fri_c0,0.996675,-46.89999999999999,59,0.5357142857142857,0.42857142857142855,0.47619047619047616,1.0563967899852507
8,cicids2017_wed_c0,0.9962,-27.19999999999999,59,0.6451612903225806,0.5714285714285714,0.606060606060606,1.0376763318914666
9,cicids2017_fri_c0,0.995725,-52.79999999999999,59,0.52,0.37142857142857144,0.43333333333333335,1.1255091120383667
10,cicids2017_fri_c0,0.99525,-24.6,59,0.5945945945945946,0.6285714285714286,0.611111111111111,1.1544525331517694
11,cicids2017_wed_c0,0.994775,-59.999999999999986,59,0.5263157894736842,0.2857142857142857,0.37037037037037035,1.1849348182410833
12,cicids2017_wed_c1,0.9943,-26.799999999999994,59,0.21212121212121213,0.6363636363636364,0.3181818181818182,1.1389429943158937
13,cicids2017_wed_c0,0.993825,-31.599999999999998,59,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.1356755700013044
14,cicids2017_wed_c1,0.99335,-38.59999999999997,59,0.1111111111111111,0.2727272727272727,0.15789473684210525,1.1264785724967092
15,cicids2017_wed_c0,0.992875,-24.79999999999999,59,0.6363636363636364,0.6,0.6176470588235293,1.1124369427447869
16,cicids2017_wed_c1,0.9924,-37.69999999999998,59,0.09090909090909091,0.18181818181818182,0.12121212121212123,1.126012840533395
17,cicids2017_wed_c0,0.991925,-27.19999999999998,59,0.6451612903225806,0.5714285714285714,0.606060606060606,1.1662533303733496
18,cicids2017_fri_c0,0.99145,-41.19999999999999,59,0.5925925925925926,0.45714285714285713,0.5161290322580645,1.1166303120572685
19,cicids2017_wed_c1,0.990975,-21.300000000000008,59,0.25,0.6363636363636364,0.358974358974359,1.0416737042756847
20,cicids2017_tue_c0,0.9905,-19.099999999999998,59,0.6875,0.6285714285714286,0.6567164179104478,1.0452007789876505
21,cicids2017_wed_c0,0.990025,-44.69999999999999,59,0.5769230769230769,0.42857142857142855,0.4918032786885245,1.0085627830155495
22,cicids2017_tue_c0,0.98955,-24.799999999999994,59,0.6363636363636364,0.6,0.6176470588235293,1.0397345112162937
23,cicids2017_fri_c0,0.989075,-30.89999999999999,59,0.6923076923076923,0.5142857142857142,0.5901639344262295,1.0529724893435037
24,cicids2017_wed_c1,0.9886,-22.399999999999995,59,0.2413793103448276,0.6363636363636364,0.35,1.0954896227321627
25,cicids2017_wed_c1,0.988125,-20.39999999999999,59,0.2608695652173913,0.5454545454545454,0.3529411764705882,1.0459493038789949
26,cicids2017_wed_c0,0.98765,-29.599999999999987,59,0.6551724137931034,0.5428571428571428,0.5937499999999999,0.9784538719011094
27,cicids2017_tue_c0,0.987175,-36.59999999999999,59,0.6296296296296297,0.4857142857142857,0.5483870967741936,1.026014046090893
28,cicids2017_wed_c1,0.9867,-39.29999999999999,59,0.1388888888888889,0.45454545454545453,0.21276595744680854,1.0012965589456935
29,cicids2017_wed_c0,0.986225,-27.19999999999999,59,0.6451612903225806,0.5714285714285714,0.606060606060606,1.0770928664214137
30,cicids2017_tue_c0,0.98575,-32.89999999999999,59,0.59375,0.5428571428571428,0.5671641791044776,1.0640630803903561
31,cicids2017_tue_c0,0.985275,-31.599999999999998,59,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0376102704736068
32,cicids2017_fri_c0,0.9848,-44.3,59,0.5,0.4857142857142857,0.49275362318840576,1.091096324646784
33,cicids2017_fri_c0,0.984325,-48.19999999999999,59,0.56,0.4,0.4666666666666667,1.04728150813624
34,cicids2017_wed_c0,0.98385,-33.09999999999998,59,0.6428571428571429,0.5142857142857142,0.5714285714285714,1.1145108542108686
35,cicids2017_wed_c1,0.983375,-23.499999999999986,59,0.23333333333333334,0.6363636363636364,0.34146341463414637,1.0687926698580787
36,cicids2017_fri_c0,0.9829,-38.79999999999999,59,0.5862068965517241,0.4857142857142857,0.53125,0.9753930518520113
37,cicids2017_wed_c1,0.982425,-33.799999999999976,59,0.16129032258064516,0.45454545454545453,0.23809523809523805,0.9720759682619188
38,cicids2017_wed_c1,0.98195,-31.99999999999998,59,0.14285714285714285,0.2727272727272727,0.18749999999999997,0.9374940866501167
39,cicids2017_tue_c0,0.981475,-45.599999999999994,59,0.5161290322580645,0.45714285714285713,0.4848484848484849,0.9942056012825963
40,cicids2017_wed_c0,0.981,-41.89999999999999,59,0.5,0.5142857142857142,0.5070422535211268,1.049154077857376
