episode,campaign_id,epsilon,total_reward,n_steps,precision,recall,f1,avg_loss
1,cicids2017_fri_c0,0.999525,-37.69999999999999,59,0.6071428571428571,0.4857142857142857,0.5396825396825397,
2,cicids2017_wed_c1,0.99905,-17.4,45,0.3157894736842105,0.5454545454545454,0.39999999999999997,1.1524660279849421
3,cicids2017_wed_c0,0.998575,-49.099999999999994,52,0.6190476190476191,0.37142857142857144,0.4642857142857143,0.8182928298404
4,cicids2017_tue_c0,0.9981,-15.000000000000005,56,0.7857142857142857,0.6285714285714286,0.6984126984126985,0.811106235341885
5,cicids2017_tue_c0,0.997625,-11.600000000000003,55,0.7931034482758621,0.6571428571428571,0.71875,0.7899543685641452
6,cicids2017_wed_c1,0.99715,-20.599999999999998,35,0.2857142857142857,0.5454545454545454,0.37499999999999994,1.0409091587198707
7,cicids2017_fri_c0,0.996675,-33.3,57,0.6428571428571429,0.5142857142857142,0.5714285714285714,0.9512771767005916
8,cicids2017_wed_c0,0.9962,-44.09999999999999,54,0.6,0.42857142857142855,0.5,1.0146937354184355
9,cicids2017_fri_c0,0.995725,-35.49999999999999,57,0.6,0.5142857142857142,0.5538461538461538,1.0625212149406433
10,cicids2017_fri_c0,0.99525,-47.29999999999998,57,0.5833333333333334,0.4,0.4745762711864407,1.1967344150359842
11,cicids2017_wed_c0,0.994775,-21.9,53,0.6470588235294118,0.6285714285714286,0.6376811594202899,1.207971093781814
12,cicids2017_wed_c1,0.9943,-27.099999999999987,42,0.2,0.2727272727272727,0.23076923076923075,1.1734342060205585
13,cicids2017_wed_c0,0.993825,-55.09999999999999,58,0.48148148148148145,0.37142857142857144,0.41935483870967744,1.2543069258705748
14,cicids2017_wed_c1,0.99335,-14.700000000000003,37,0.35,0.6363636363636364,0.45161290322580644,1.2699928186657916
15,cicids2017_wed_c0,0.992875,-18.299999999999997,56,0.7096774193548387,0.6285714285714286,0.6666666666666666,1.3031928592392867
16,cicids2017_wed_c1,0.9924,-25.299999999999983,45,0.22727272727272727,0.45454545454545453,0.30303030303030304,1.258525248353029
17,cicids2017_wed_c0,0.991925,-24.599999999999994,52,0.7142857142857143,0.5714285714285714,0.634920634920635,1.3192974428028763
18,cicids2017_fri_c0,0.99145,-63.59999999999999,56,0.45454545454545453,0.2857142857142857,0.3508771929824561,1.325664568114243
19,cicids2017_wed_c1,0.990975,-33.59999999999999,43,0.14285714285714285,0.2727272727272727,0.18749999999999997,1.2628836182354386
20,cicids2017_tue_c0,0.9905,-45.099999999999994,55,0.5769230769230769,0.42857142857142855,0.4918032786885245,1.2941405098977548
21,cicids2017_wed_c0,0.990025,-33.499999999999986,55,0.6428571428571429,0.5142857142857142,0.5714285714285714,1.313345101141775
22,cicids2017_tue_c0,0.98955,-35.5,57,0.6,0.5142857142857142,0.5538461538461538,1.378933751765452
23,cicids2017_fri_c0,0.989075,-32.0,57,0.6129032258064516,0.5428571428571428,0.5757575757575757,1.3506315232447
24,cicids2017_wed_c1,0.9886,-22.29999999999999,40,0.2608695652173913,0.5454545454545454,0.3529411764705882,1.4158629643391176
25,cicids2017_wed_c1,0.988125,-18.6,42,0.2916666666666667,0.6363636363636364,0.4,1.343443763707587
26,cicids2017_wed_c0,0.98765,-43.99999999999999,55,0.6,0.42857142857142855,0.5,1.278890391028891
27,cicids2017_tue_c0,0.987175,-42.49999999999999,57,0.5714285714285714,0.45714285714285713,0.5079365079365079,1.277174662176711
28,cicids2017_wed_c1,0.9867,-5.100000000000003,41,0.45,0.8181818181818182,0.5806451612903226,1.2821280604033634
29,cicids2017_wed_c0,0.986225,-50.79999999999999,57,0.5652173913043478,0.37142857142857144,0.4482758620689655,1.226944838972451
30,cicids2017_tue_c0,0.98575,-29.89999999999999,56,0.6551724137931034,0.5428571428571428,0.5937499999999999,1.2895817347755758
31,cicids2017_tue_c0,0.985275,-42.999999999999986,54,0.625,0.42857142857142855,0.5084745762711864,1.2745608749742972
32,cicids2017_fri_c0,0.9848,-17.199999999999996,54,0.6764705882352942,0.6571428571428571,0.6666666666666666,1.2961661825199957
33,cicids2017_fri_c0,0.984325,-14.900000000000002,55,0.71875,0.6571428571428571,0.6865671641791045,1.2351114712128795
34,cicids2017_wed_c0,0.98385,-28.69999999999998,57,0.6785714285714286,0.5428571428571428,0.603174603174603,1.16103566456142
35,cicids2017_wed_c1,0.983375,-24.299999999999997,33,0.25,0.45454545454545453,0.3225806451612903,1.2050296813056662
36,cicids2017_fri_c0,0.9829,-31.999999999999993,57,0.6129032258064516,0.5428571428571428,0.5757575757575757,1.1630421211256396
37,cicids2017_wed_c1,0.982425,-17.299999999999997,44,0.30434782608695654,0.6363636363636364,0.411764705882353,1.2483833770178248
38,cicids2017_wed_c1,0.98195,-18.400000000000002,46,0.3,0.5454545454545454,0.3870967741935483,1.2641183238007458
39,cicids2017_tue_c0,0.981475,-34.69999999999999,56,0.68,0.4857142857142857,0.5666666666666667,1.27377520837584
40,cicids2017_wed_c0,0.981,-12.700000000000003,55,0.7666666666666667,0.6571428571428571,0.7076923076923077,1.2447408360249768
41,cicids2017_fri_c0,0.980525,-35.699999999999996,57,0.6538461538461539,0.4857142857142857,0.5573770491803278,1.188787437923652
42,cicids2017_wed_c1,0.98005,-24.999999999999993,37,0.23809523809523808,0.45454545454545453,0.31249999999999994,1.083315241657531
43,cicids2017_wed_c0,0.979575,-32.59999999999999,55,0.7391304347826086,0.4857142857142857,0.5862068965517241,1.1349585274132743
44,cicids2017_tue_c0,0.9791,-43.899999999999984,56,0.6,0.42857142857142855,0.5,1.1733411692625295
45,cicids2017_fri_c0,0.978625,-26.3,57,0.6666666666666666,0.5714285714285714,0.6153846153846153,1.109710651692929
46,cicids2017_wed_c1,0.97815,-27.399999999999995,44,0.21428571428571427,0.5454545454545454,0.30769230769230765,1.197080309418208
47,cicids2017_tue_c0,0.977675,-35.09999999999999,52,0.68,0.4857142857142857,0.5666666666666667,1.1493809254726997
48,cicids2017_wed_c1,0.9772,-17.599999999999994,34,0.35714285714285715,0.45454545454545453,0.4,1.103094022808095
49,cicids2017_wed_c0,0.976725,-18.299999999999997,54,0.6571428571428571,0.6571428571428571,0.6571428571428571,1.1598106694084327
50,cicids2017_wed_c1,0.97625,-22.499999999999986,40,0.2631578947368421,0.45454545454545453,0.3333333333333333,1.1475329651978026
51,cicids2017_wed_c1,0.9757750000000001,-26.29999999999999,46,0.21739130434782608,0.45454545454545453,0.29411764705882354,1.1415477302274326
52,cicids2017_fri_c0,0.9753000000000001,-46.99999999999999,58,0.5357142857142857,0.42857142857142855,0.47619047619047616,1.1415233712169415
53,cicids2017_tue_c0,0.974825,-48.79999999999999,55,0.6190476190476191,0.37142857142857144,0.4642857142857143,1.1093700710422334
54,cicids2017_tue_c0,0.97435,-43.6,57,0.5517241379310345,0.45714285714285713,0.5,1.195409247266088
55,cicids2017_tue_c0,0.973875,-35.69999999999999,55,0.6,0.5142857142857142,0.5538461538461538,1.140019181135091
56,cicids2017_fri_c0,0.9734,-40.19999999999998,58,0.6153846153846154,0.45714285714285713,0.5245901639344263,1.1297534166491057
57,cicids2017_wed_c0,0.972925,-30.89999999999999,55,0.5882352941176471,0.5714285714285714,0.5797101449275363,1.1359775479641223
58,cicids2017_fri_c0,0.97245,-24.000000000000004,58,0.7142857142857143,0.5714285714285714,0.634920634920635,1.199028414583348
59,cicids2017_wed_c0,0.971975,-35.69999999999999,55,0.6,0.5142857142857142,0.5538461538461538,1.1618163110799178
60,cicids2017_wed_c0,0.9715,-32.79999999999999,58,0.5555555555555556,0.5714285714285714,0.5633802816901409,1.1568386508509616
61,cicids2017_wed_c1,0.971025,-23.599999999999987,40,0.25,0.45454545454545453,0.3225806451612903,1.178195697599761
62,cicids2017_wed_c0,0.97055,-49.59999999999999,56,0.5384615384615384,0.4,0.45901639344262296,1.1786386282193537
63,cicids2017_tue_c0,0.970075,-13.500000000000004,56,0.6857142857142857,0.6857142857142857,0.6857142857142857,1.2054633626016202
64,cicids2017_wed_c1,0.9696,-19.299999999999994,39,0.3125,0.45454545454545453,0.3703703703703703,1.1626181390784465
65,cicids2017_tue_c0,0.969125,-16.6,51,0.7586206896551724,0.6285714285714286,0.6875,1.180902816436501
66,cicids2017_tue_c0,0.96865,-35.6,54,0.5588235294117647,0.5428571428571428,0.5507246376811593,1.1777110309987566
67,cicids2017_wed_c1,0.968175,-29.699999999999996,45,0.19230769230769232,0.45454545454545453,0.27027027027027023,1.1981184129838878
68,cicids2017_tue_c0,0.9677,-35.099999999999994,52,0.68,0.4857142857142857,0.5666666666666667,1.1808119804331374
69,cicids2017_fri_c0,0.967225,-22.699999999999996,58,0.6774193548387096,0.6,0.6363636363636364,1.1927443151015924
70,cicids2017_tue_c0,0.96675,-32.49999999999999,54,0.6666666666666666,0.5142857142857142,0.5806451612903226,1.3013698700162868
71,cicids2017_wed_c1,0.966275,-15.900000000000006,38,0.35294117647058826,0.5454545454545454,0.42857142857142855,1.1871674305123807
72,cicids2017_fri_c0,0.9658,-51.79999999999999,58,0.5416666666666666,0.37142857142857144,0.44067796610169496,1.1566674528361822
73,cicids2017_tue_c0,0.965325,-46.399999999999984,55,0.6086956521739131,0.4,0.48275862068965525,1.2189373833198118
74,cicids2017_fri_c0,0.96485,-38.79999999999999,59,0.5862068965517241,0.4857142857142857,0.53125,1.1868016981104628
75,cicids2017_wed_c0,0.964375,-24.299999999999986,55,0.7142857142857143,0.5714285714285714,0.634920634920635,1.2196987157767583
76,cicids2017_tue_c0,0.9639,-33.5,53,0.59375,0.5428571428571428,0.5671641791044776,1.154401140373653
77,cicids2017_tue_c0,0.963425,-27.399999999999995,57,0.6451612903225806,0.5714285714285714,0.606060606060606,1.2026131630428956
78,cicids2017_fri_c0,0.96295,-28.799999999999986,58,0.75,0.5142857142857142,0.6101694915254237,1.182797830935676
79,cicids2017_wed_c0,0.962475,-11.900000000000004,52,0.7931034482758621,0.6571428571428571,0.71875,1.1228582391759236
80,cicids2017_wed_c0,0.962,-51.69999999999999,57,0.5,0.4,0.4444444444444445,1.1621035522224814
81,cicids2017_wed_c1,0.961525,-16.299999999999997,34,0.35294117647058826,0.5454545454545454,0.42857142857142855,1.209145067931632
82,cicids2017_tue_c0,0.96105,-46.29999999999999,54,0.5555555555555556,0.42857142857142855,0.48387096774193544,1.1703750410581804
83,cicids2017_fri_c0,0.960575,-46.099999999999994,58,0.6086956521739131,0.4,0.48275862068965525,1.1986885536900402
84,cicids2017_wed_c1,0.9601,-18.0,39,0.3157894736842105,0.5454545454545454,0.39999999999999997,1.1834502243919052
85,cicids2017_wed_c0,0.959625,-47.19999999999999,56,0.5357142857142857,0.42857142857142855,0.47619047619047616,1.212726985066242
86,cicids2017_wed_c0,0.95915,-42.79999999999999,54,0.5714285714285714,0.45714285714285713,0.5079365079365079,1.2366595600111998
87,cicids2017_fri_c0,0.958675,-27.39999999999999,57,0.6451612903225806,0.5714285714285714,0.606060606060606,1.2035649180675707
88,cicids2017_tue_c0,0.9582,-40.39999999999999,54,0.5666666666666667,0.4857142857142857,0.523076923076923,1.2384794187714219
89,cicids2017_wed_c1,0.957725,-33.49999999999999,42,0.16,0.36363636363636365,0.2222222222222222,1.267423352240545
90,cicids2017_wed_c1,0.95725,-25.499999999999986,45,0.2222222222222222,0.36363636363636365,0.27586206896551724,1.2707670891578815
91,cicids2017_tue_c0,0.956775,-12.300000000000004,57,0.7058823529411765,0.6857142857142857,0.6956521739130436,1.1895033561298616
92,cicids2017_wed_c1,0.9563,-19.5,44,0.28,0.6363636363636364,0.3888888888888889,1.1740286350740041
93,cicids2017_wed_c1,0.955825,-25.399999999999988,44,0.22727272727272727,0.45454545454545453,0.30303030303030304,1.2014158387383893
94,cicids2017_tue_c0,0.95535,-56.49999999999999,57,0.5,0.34285714285714286,0.4067796610169492,1.180071664642223
95,cicids2017_wed_c1,0.954875,-12.500000000000004,35,0.36363636363636365,0.7272727272727273,0.4848484848484849,1.2264452699134236
96,cicids2017_tue_c0,0.9544,-43.19999999999999,54,0.7,0.4,0.509090909090909,1.184140586415585
97,cicids2017_fri_c0,0.953925,-52.599999999999994,59,0.4827586206896552,0.4,0.43750000000000006,1.1369434434169217
98,cicids2017_wed_c0,0.95345,-25.199999999999992,57,0.6896551724137931,0.5714285714285714,0.625,1.1460947396883312
99,cicids2017_wed_c0,0.952975,-40.3,55,0.5666666666666667,0.4857142857142857,0.523076923076923,1.1577911653797592
100,cicids2017_fri_c0,0.9525,-23.700000000000003,57,0.6111111111111112,0.6285714285714286,0.619718309859155,1.1436956480093068
